table_name,column_name,data_type,is_nullable,column_default
digital_cards,user_id,uuid,NO,
digital_cards,full_name,text,NO,''::text
digital_cards,job_title,text,NO,''::text
digital_cards,email,text,NO,''::text
digital_cards,phone,text,NO,''::text
digital_cards,company,text,NO,''::text
digital_cards,website,text,NO,''::text
digital_cards,theme,text,NO,'dark'::text
digital_cards,holographic_style,boolean,NO,false
digital_cards,media_layout,jsonb,NO,'{}'::jsonb
digital_cards,share_token,text,YES,
cover_wraps,name,text,YES,
cover_wraps,trim_size,text,YES,'6x9'::text
cover_wraps,paper_stock,text,YES,'white'::text
bizbooks,trim_size,text,YES,'letter'::text
marketplace_orders,amount_bfc,integer,NO,0
marketplace_orders,source_table,text,YES,
agent_assignments,executive_task_id,uuid,NO,
model_calls,id,bigint,NO,nextval('model_calls_id_seq'::regclass)
